TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	RIAAN  JOUBERT			01-MAY-26	01-MAY-26	4810	15400098	KOMATI FRUITS ( P	HL 	78	141623	24	78	0		1	6	261	261	LEMS	CTT150	*	1	*	56	*		 	4810	LEMS,CTT150,*,CL 1,*,56,*	104
R S A MARKET AGENTS	RIAAN  JOUBERT			28-MAY-26	28-MAY-26	3714	15453386	KOMATI FRUITS ( P	HL 	245	141623	24	245	0		1	6	261	261	LEMS	JP090	*	2	M	*	*		 	3714	LEMS,JP090,*,CL 2,M,*,*	77
R S A MARKET AGENTS	RIAAN  JOUBERT			10-MAY-26	10-MAY-26	7447	15416273	KOMATI FRUITS ( P	HL 	14	141623	24	14	0		1	6	261	261	LEMS	CTT150	*	1	*	100	*		 	7447	LEMS,CTT150,*,CL 1,*,100,*	95
R S A MARKET AGENTS	RIAAN  JOUBERT			10-MAY-26	10-MAY-26	7433	15416268	KOMATI FRUITS ( P	HL 	5	141623	24	5	0		1	6	261	261	LEMS	CTT150	*	1	*	88	*		 	7433	LEMS,CTT150,*,CL 1,*,88,*	95
R S A MARKET AGENTS	RIAAN  JOUBERT			05-AUG-26	05-AUG-26	5894	15574415	KOMATI FRUITS ( P	HL 	329	141623	24	329	0		1	6	259	259	NAAR	CO150	NAR	1	1X	*	*		 	5894	NAAR,CO150,NAR,CL 1,1X,*,*	7
R S A MARKET AGENTS	RIAAN  JOUBERT			05-AUG-26	05-AUG-26	5917	15574420	KOMATI FRUITS ( P	HL 	258	141623	24	258	0		1	6	259	259	NAAR	CO150	NAR	1	3	*	*		 	5917	NAAR,CO150,NAR,CL 1,3,*,*	7
R S A MARKET AGENTS	RIAAN  JOUBERT			05-AUG-26	05-AUG-26	5902	15574416	KOMATI FRUITS ( P	HL 	260	141623	24	260	0		1	6	259	259	NAAR	CO150	NAR	1	1	*	*		 	5902	NAAR,CO150,NAR,CL 1,1,*,*	7
R S A MARKET AGENTS	RIAAN  JOUBERT			10-AUG-26	10-AUG-26	4751	15581900	KOMATI FRUITS ( P	HL 	110	141623	24	110	0		1	6	261	261	ORGS	CO150	MN	2	*	50	*		 	4751	ORGS,CO150,MN,CL 2,*,50,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			10-AUG-26	10-AUG-26	5583	15581902	KOMATI FRUITS ( P	HL 	7	141623	24	7	0		1	6	261	261	ORGS	CO150	MN	2	*	55	*		 	5583	ORGS,CO150,MN,CL 2,*,55,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			10-AUG-26	10-AUG-26	4955	15581927	KOMATI FRUITS ( P	HL 	165	141623	24	165	0		1	6	261	261	ORGS	CO150	MN	2	*	55	*		 	4955	ORGS,CO150,MN,CL 2,*,55,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			14-JUL-26	14-JUL-26	4822	15533751	KOMATI FRUITS ( P	HL 	195	141623	24	195	0		1	6	261	261	ORGS	CTT150	NV	2	*	56	*		*	4822	ORGS,CTT150,NV,CL 2,*,56,*	30
