TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			24-JUN-26	24-JUN-26	8496	15501011	FRAAIUITZICHT BEL	HL 	244	82089	24	244	0		1	6	261	261	LEMS	PC020	*	0	*	*	*		 	8496	LEMS,PC020,*,*,*,*,*	50
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			24-JUN-26	24-JUN-26	8497	15501014	FRAAIUITZICHT BEL	HL 	64	82089	24	64	0		1	6	261	261	LEMS	PC030	*	0	*	*	*		 	8497	LEMS,PC030,*,*,*,*,*	50
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	6828	15578342	H L HALL & SONS L	HL 	211	82089	24	211	0		1	6	261	261	AVOS	SP170	AH	2	*	*	*		 	6828	AVOS,SP170,AH,CL 2,*,*,*	5
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	8037	15578342	H L HALL & SONS L	HL 	18	82089	24	18	0	1012	1	6	261	261	AVOS	SP170	AH	2	*	*	*		 	8037	AVOS,SP170,AH,CL 2,*,*,*	5
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			14-JUL-26	14-JUL-26	691	15534216	IJ BURGER T/A ARB	HL 	88	82089	24	88	0		1	6	261	261	NUTPS	PC020	*	0	*	*	*		 	691	NUTPS,PC020,*,*,*,*,*	30
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			01-JUL-26	01-JUL-26	1046	15511965	IJ BURGER T/A ARB	HL 	130	82089	24	130	0		1	6	261	261	NUTPS	KG	*	0	*	*	*		 	1046	NUTPS,KG,*,*,*,*,*	43
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			06-AUG-26	06-AUG-26	7885	15576573	JOUBERT EN JOUBER	HL 	128	82089	24	128	0		1	6	261	261	AVOS	TR040	AF	1	*	16	*		 	7885	AVOS,TR040,AF,CL 1,*,16,*	7
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	425	15564787	JOUBERT EN JOUBER	HL 	6	82089	24	6	0	1035	1	6	261	261	AVOS	TR040	AF	1	*	20	*		 	425	AVOS,TR040,AF,CL 1,*,20,*	13
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	228	15564789	JOUBERT EN JOUBER	HL 	40	82089	24	40	0		1	6	261	261	AVOS	TR040	AF	1	*	18	*		 	228	AVOS,TR040,AF,CL 1,*,18,*	13
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	6113	15564790	JOUBERT EN JOUBER	HL 	29	82089	24	29	0	1035	1	6	261	261	AVOS	TR040	AF	1	*	16	*		 	6113	AVOS,TR040,AF,CL 1,*,16,*	13
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	264	15564790	JOUBERT EN JOUBER	HL 	2	82089	24	2	0		1	6	261	261	AVOS	TR040	AF	1	*	16	*		 	264	AVOS,TR040,AF,CL 1,*,16,*	13
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	215	15564788	JOUBERT EN JOUBER	HL 	21	82089	24	21	0		1	6	261	261	AVOS	TR040	AF	1	*	14	*		 	215	AVOS,TR040,AF,CL 1,*,14,*	13
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			06-AUG-26	06-AUG-26	7878	15576568	JOUBERT EN JOUBER	HL 	178	82089	24	178	0		1	6	261	261	AVOS	TR040	AF	1	*	12	*		 	7878	AVOS,TR040,AF,CL 1,*,12,*	7
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	6830	15564785	JOUBERT EN JOUBER	HL 	17	82089	24	17	0	1035	1	6	261	261	AVOS	TR040	AF	1	*	12	*		 	6830	AVOS,TR040,AF,CL 1,*,12,*	13
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	19	15564785	JOUBERT EN JOUBER	HL 	105	82089	24	105	0		1	6	261	261	AVOS	TR040	AF	1	*	12	*		 	19	AVOS,TR040,AF,CL 1,*,12,*	13
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			06-AUG-26	06-AUG-26	7873	15576562	JOUBERT EN JOUBER	HL 	84	82089	24	84	0		1	6	261	261	AVOS	TR040	AF	1	*	10	*		 	7873	AVOS,TR040,AF,CL 1,*,10,*	7
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			11-AUG-26	11-AUG-26	6673	15581521	KENBROOK FARMS	HL 	5	82089	24	5	0		1	6	261	261	AVOS	TR040	AX	2	*	14	*		 	6673	AVOS,TR040,AX,CL 2,*,14,*	2
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			11-AUG-26	11-AUG-26	5772	15581518	KENBROOK FARMS	HL 	95	82089	24	95	0		1	6	261	261	AVOS	TR040	AX	2	*	10	*		 	5772	AVOS,TR040,AX,CL 2,*,10,*	2
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			11-AUG-26	11-AUG-26	3693	15581513	KENBROOK FARMS	HL 	35	82089	24	35	0		1	6	261	261	AVOS	TR040	AX	2	*	10	*		 	3693	AVOS,TR040,AX,CL 2,*,10,*	2
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			19-JUN-26	19-JUN-26	5536	15492638	MIDDELFONTEIN BOE	HL 	98	82089	24	98	0		1	6	261	261	NUTPS	PC040	*	0	*	*	*		 	5536	NUTPS,PC040,*,*,*,*,*	55
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			11-AUG-26	11-AUG-26	6407	15583308	MILLHART FARMING 	HL 	57	82089	24	57	15		1	6	261	261	BERS	PTB025	*	0	*	20	*		 	6407	BERS,PTB025,*,*,*,20,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			04-AUG-26	04-AUG-26	435	15570312	MULLER FAMILIE BO	HL 	87	82089	24	87	0		1	6	261	261	AVOS	BG150	AK	2	M	*	*		 	435	AVOS,BG150,AK,CL 2,M,*,*	9
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	8917	15576930	POTGIETER BOERDER	HL 	2	82089	24	2	0		1	6	261	261	AVOS	TR040	AF	1	*	22	*		 	8917	AVOS,TR040,AF,CL 1,*,22,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	5319	15576910	POTGIETER BOERDER	HL 	63	82089	24	63	0		1	6	261	261	AVOS	SP170	AF	2	*	*	*		 	5319	AVOS,SP170,AF,CL 2,*,*,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	8916	15576921	POTGIETER BOERDER	HL 	142	82089	24	142	0		1	6	261	261	AVOS	TR040	AF	1	*	18	*		 	8916	AVOS,TR040,AF,CL 1,*,18,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	382	15576914	POTGIETER BOERDER	HL 	5	82089	24	5	0		1	6	261	261	AVOS	TR040	AF	1	*	12	*		 	382	AVOS,TR040,AF,CL 1,*,12,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	8913	15576912	POTGIETER BOERDER	HL 	30	82089	24	30	0		1	6	261	261	AVOS	TR040	AF	1	*	10	*		 	8913	AVOS,TR040,AF,CL 1,*,10,*	6
