TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			24-JUN-26	24-JUN-26	8496	15501011	FRAAIUITZICHT BEL	HL 	245	82089	24	245	0		1	6	261	261	LEMS	PC020	*	0	*	*	*		 	8496	LEMS,PC020,*,*,*,*,*	40
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			08-JUL-26	08-JUL-26	8216	15523335	FRAAIUITZICHT BEL	HL 	709	82089	24	709	0		1	6	261	261	ORGS	PC060	VA	1	XL	*	*		 	8216	ORGS,PC060,VA,CL 1,XL,*,*	25
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	366	15565940	H L HALL & SONS L	HL 	264	82089	24	264	0		1	6	261	261	AVOS	TR040	AH	1	*	14	*		 	366	AVOS,TR040,AH,CL 1,*,14,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			14-JUL-26	14-JUL-26	691	15534216	IJ BURGER T/A ARB	HL 	88	82089	24	88	0		1	6	261	261	NUTPS	PC020	*	0	*	*	*		 	691	NUTPS,PC020,*,*,*,*,*	20
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			01-JUL-26	01-JUL-26	1046	15511965	IJ BURGER T/A ARB	HL 	130	82089	24	130	0		1	6	261	261	NUTPS	KG	*	0	*	*	*		 	1046	NUTPS,KG,*,*,*,*,*	33
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	19	15564785	JOUBERT EN JOUBER	HL 	263	82089	24	263	0		1	6	261	261	AVOS	TR040	AF	1	*	12	*		 	19	AVOS,TR040,AF,CL 1,*,12,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	215	15564788	JOUBERT EN JOUBER	HL 	238	82089	24	238	0		1	6	261	261	AVOS	TR040	AF	1	*	14	*		 	215	AVOS,TR040,AF,CL 1,*,14,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	130	15564787	JOUBERT EN JOUBER	HL 	239	82089	24	239	0		1	6	261	261	AVOS	TR040	AF	1	*	20	*		 	130	AVOS,TR040,AF,CL 1,*,20,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	228	15564789	JOUBERT EN JOUBER	HL 	128	82089	24	128	0		1	6	261	261	AVOS	TR040	AF	1	*	18	*		 	228	AVOS,TR040,AF,CL 1,*,18,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	264	15564790	JOUBERT EN JOUBER	HL 	110	82089	24	110	0		1	6	261	261	AVOS	TR040	AF	1	*	16	*		 	264	AVOS,TR040,AF,CL 1,*,16,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			19-JUN-26	19-JUN-26	5536	15492638	MIDDELFONTEIN BOE	HL 	103	82089	24	103	0		1	6	261	261	NUTPS	PC040	*	0	*	*	*		 	5536	NUTPS,PC040,*,*,*,*,*	44
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			22-JUL-26	22-JUL-26	7815	15548464	MILLHART FARMING 	HL 	48	82089	24	48	0		1	6	261	261	BERS	PTB025	*	0	*	20	*		 	7815	BERS,PTB025,*,*,*,20,*	11
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			29-JUL-26	29-JUL-26	8511	15560899	MILLHART FARMING 	HL 	92	82089	24	92	0		1	6	261	261	BERS	PTB025	*	0	*	20	*		 	8511	BERS,PTB025,*,*,*,20,*	5
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			16-JUL-26	16-JUL-26	5887	15538489	POTGIETER BOERDER	HL 	14	82089	24	14	0		1	6	261	261	AVOS	BG170	AF	1	L	*	*		 	5887	AVOS,BG170,AF,CL 1,L,*,*	17
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			28-JUL-26	28-JUL-26	2406	15559079	POTGIETER BOERDER	HL 	52	82089	24	52	0		1	6	261	261	AVOS	BG150	AH	2	M	*	*		 	2406	AVOS,BG150,AH,CL 2,M,*,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	3323	15565973	SAMPADA AGRI (PTY	HL 	156	82089	24	156	0		1	6	261	261	BERS	PTB025	*	0	*	16	*		 	3323	BERS,PTB025,*,*,*,16,*	2
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			29-JUL-26	29-JUL-26	8504	15560857	SAMPADA AGRI (PTY	HL 	49	82089	24	49	0		1	6	261	261	BERS	PTB025	*	0	L	16	*		 	8504	BERS,PTB025,*,*,L,16,*	4
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	4027	15484067	SRCC MARKETING (P	HL 	18	82089	24	18	0		1	6	261	261	LEMS	CTT150	*	2	*	48	*		 	4027	LEMS,CTT150,*,CL 2,*,48,*	52
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			18-JUN-26	18-JUN-26	7853	15491547	SRCC MARKETING (P	HL 	98	82089	24	98	0		1	6	261	261	LEMS	CTT150	*	1	*	48	*		 	7853	LEMS,CTT150,*,CL 1,*,48,*	45
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	179	15484064	SRCC MARKETING (P	HL 	81	82089	24	81	0		1	6	261	261	LEMS	CTT150	*	1	*	56	*		 	179	LEMS,CTT150,*,CL 1,*,56,*	52
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	44	15484071	SRCC MARKETING (P	HL 	46	82089	24	46	0		1	6	261	261	LEMS	CTT150	*	2	*	56	*		 	44	LEMS,CTT150,*,CL 2,*,56,*	52
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			18-JUN-26	18-JUN-26	7863	15491623	SRCC MARKETING (P	HL 	56	82089	24	56	0		1	6	261	261	LEMS	CTT150	*	2	*	56	*		 	7863	LEMS,CTT150,*,CL 2,*,56,*	45
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			18-JUN-26	18-JUN-26	6410	15491628	SRCC MARKETING (P	HL 	353	82089	24	353	0		1	6	261	261	LEMS	CTT150	*	12	*	64	*		 	6410	LEMS,CTT150,*,LOWEST CLASS,*,64,*	45
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			18-JUN-26	18-JUN-26	7875	15491635	SRCC MARKETING (P	HL 	661	82089	24	661	0		1	6	261	261	LEMS	CTT150	*	12	*	75	*		 	7875	LEMS,CTT150,*,LOWEST CLASS,*,75,*	45
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	3679	15484024	SRCC MARKETING (P	HL 	287	82089	24	287	0		1	6	261	261	NOVA	CO100	*	1	1XX	*	*		 	3679	NOVA,CO100,*,CL 1,1XX,*,*	51
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	3819	15482750	SRCC MARKETING (P	HL 	24	82089	24	24	0		1	6	261	261	NOVA	CO150	*	1	1	*	*		 	3819	NOVA,CO150,*,CL 1,1,*,*	51
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	4162	15484028	SRCC MARKETING (P	HL 	14	82089	24	14	0		1	6	261	261	NOVA	CO100	*	1	1XXX	*	*		 	4162	NOVA,CO100,*,CL 1,1XXX,*,*	51
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			01-JUL-26	01-JUL-26	1052	15509535	SRCC MARKETING (P	HL 	227	82089	24	227	0		1	6	261	261	ORGS	CTT150	NV	2	*	48	*		 	1052	ORGS,CTT150,NV,CL 2,*,48,*	33
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			01-JUL-26	01-JUL-26	749	15509541	SRCC MARKETING (P	HL 	31	82089	24	31	0		1	6	261	261	ORGS	CTT150	TO	1	*	64	*		 	749	ORGS,CTT150,TO,CL 1,*,64,*	33
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			01-JUL-26	01-JUL-26	449	15509536	SRCC MARKETING (P	HL 	72	82089	24	72	0		1	6	261	261	ORGS	CTT150	NV	2	*	56	*		 	449	ORGS,CTT150,NV,CL 2,*,56,*	33
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			20-JUL-26	20-JUL-26	359	15541859	TRUCK AND CARGO S	HL 	311	82089	24	311	0		1	6	261	261	LEMS	CTT150	*	12	*	100	*		 	359	LEMS,CTT150,*,LOWEST CLASS,*,100,*	14
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			29-JUL-26	29-JUL-26	1613	15558934	WESTFALIA MARKETI	HL 	94	82089	24	94	0		1	6	261	261	AVOS	SP170	AK	2	*	*	*		 	1613	AVOS,SP170,AK,CL 2,*,*,*	5
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	8711	15563683	WESTFALIA MARKETI	HL 	64	82089	24	64	0		1	6	261	261	AVOS	BG160	AX	2	M	*	*		 	8711	AVOS,BG160,AX,CL 2,M,*,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			30-JUL-26	30-JUL-26	6597	15564170	WESTFALIA MARKETI	HL 	205	82089	24	205	0		1	6	261	261	AVOS	TR040	AX	12	*	16	*		 	6597	AVOS,TR040,AX,LOWEST CLASS,*,16,*	4
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			29-JUL-26	29-JUL-26	8526	15561015	WESTFALIA MARKETI	HL 	246	82089	24	246	0		1	6	261	261	AVOS	TR040	AK	12	*	22	*		 	8526	AVOS,TR040,AK,LOWEST CLASS,*,22,*	5
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			29-JUL-26	29-JUL-26	8519	15560986	WESTFALIA MARKETI	HL 	15	82089	24	15	0		1	6	261	261	AVOS	TR040	AX	12	*	22	*		 	8519	AVOS,TR040,AX,LOWEST CLASS,*,22,*	5
