TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	RIAAN  JOUBERT			01-MAY-26	01-MAY-26	4810	15400098	KOMATI FRUITS ( P	HL 	146	141623	24	146	0		1	6	261	261	LEMS	CTT150	*	1	*	56	*		 	4810	LEMS,CTT150,*,CL 1,*,56,*	94
R S A MARKET AGENTS	RIAAN  JOUBERT			16-MAY-26	16-MAY-26	538	15429353	KOMATI FRUITS ( P	HL 	229	141623	24	229	0		1	6	261	261	LEMS	CTT150	*	1	*	113	*		 	538	LEMS,CTT150,*,CL 1,*,113,*	79
R S A MARKET AGENTS	RIAAN  JOUBERT			28-MAY-26	28-MAY-26	3714	15453386	KOMATI FRUITS ( P	HL 	245	141623	24	245	0		1	6	261	261	LEMS	JP090	*	2	M	*	*		 	3714	LEMS,JP090,*,CL 2,M,*,*	67
R S A MARKET AGENTS	RIAAN  JOUBERT			10-MAY-26	10-MAY-26	7433	15416268	KOMATI FRUITS ( P	HL 	5	141623	24	5	0		1	6	261	261	LEMS	CTT150	*	1	*	88	*		 	7433	LEMS,CTT150,*,CL 1,*,88,*	85
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26	277	15529539	KOMATI FRUITS ( P	HL 	311	141623	24	311	0		1	6	261	261	ORGS	CTT150	NV	1	*	64	*		*	277	ORGS,CTT150,NV,CL 1,*,64,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26	5041	15540206	KOMATI FRUITS ( P	HL 	79	141623	24	79	0		1	6	261	261	ORGS	CTT150	NV	1	*	64	*		 	5041	ORGS,CTT150,NV,CL 1,*,64,*	16
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26	3221	15529515	KOMATI FRUITS ( P	HL 	38	141623	24	38	0		1	6	261	261	ORGS	CTT150	NV	2	*	56	*		*	3221	ORGS,CTT150,NV,CL 2,*,56,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26	441	15546486	KOMATI FRUITS ( P	HL 	79	141623	24	79	0		1	6	261	261	ORGS	CTT150	NV	1	*	56	*		 	441	ORGS,CTT150,NV,CL 1,*,56,*	12
R S A MARKET AGENTS	RIAAN  JOUBERT			14-JUL-26	14-JUL-26	4822	15533751	KOMATI FRUITS ( P	HL 	398	141623	24	398	0		1	6	261	261	ORGS	CTT150	NV	2	*	56	*		 	4822	ORGS,CTT150,NV,CL 2,*,56,*	20
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26	2381	15540174	KOMATI FRUITS ( P	HL 	11	141623	24	11	0	45	1	6	261	261	ORGS	CO150	NV	1	*	50	*		 	2381	ORGS,CO150,NV,CL 1,*,50,*	16
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26	718	15546506	KOMATI FRUITS ( P	HL 	28	141623	24	28	0		1	6	261	261	ORGS	CO150	NV	2	*	45	*		 	718	ORGS,CO150,NV,CL 2,*,45,*	12
R S A MARKET AGENTS	RIAAN  JOUBERT			14-JUL-26	14-JUL-26	4263	15533747	KOMATI FRUITS ( P	HL 	80	141623	24	80	0		1	6	261	261	ORGS	CTT150	NV	1	*	105	*		 	4263	ORGS,CTT150,NV,CL 1,*,105,*	20
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26	2197	15529492	KOMATI FRUITS ( P	HL 	398	141623	24	398	0		1	6	261	261	ORGS	CTT150	NV	1	*	88	*		 	2197	ORGS,CTT150,NV,CL 1,*,88,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			01-JUL-26	01-JUL-26	7363	15510726	KOMATI FRUITS ( P	HL 	403	141623	24	403	0		1	6	261	261	ORGS	CTT150	NV	2	*	88	*		 	7363	ORGS,CTT150,NV,CL 2,*,88,*	33
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26	2696	15529540	KOMATI FRUITS ( P	HL 	310	141623	24	310	0		1	6	261	261	ORGS	CTT150	NV	1	*	72	*		*	2696	ORGS,CTT150,NV,CL 1,*,72,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26	554	15546491	KOMATI FRUITS ( P	HL 	158	141623	24	158	0		1	6	261	261	ORGS	CTT150	NV	1	*	72	*		 	554	ORGS,CTT150,NV,CL 1,*,72,*	12
R S A MARKET AGENTS	RIAAN  JOUBERT			15-JUL-26	15-JUL-26	498	15534100	KOMATI FRUITS ( P	HL 	77	141623	24	77	0		1	6	261	261	ORGS	CTT150	NV	1	*	72	*		*	498	ORGS,CTT150,NV,CL 1,*,72,*	19
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	396	15551222	LANGPLAAS BOERDER	HL 	2	141623	24	2	0		1	6	261	261	BERS	PTB025	*	0	*	16	*		 	396	BERS,PTB025,*,*,*,16,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			02-AUG-26	02-AUG-26	7952	15567414	LANGPLAAS BOERDER	HL 	144	141623	24	144	0		1	6	261	261	BERS	PTB025	*	0	*	16	*		 	7952	BERS,PTB025,*,*,*,16,*	1
R S A MARKET AGENTS	RIAAN  JOUBERT			23-JUL-26	23-JUL-26	4885	15548283	MANDARYN BOERDERY	HL 	105	141623	24	105	0		1	6	261	261	NAAR	CO070	NAR	1	*	44	*		 	4885	NAAR,CO070,NAR,CL 1,*,44,*	11
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26	7701	15548261	MANDARYN BOERDERY	HL 	15	141623	24	15	0		1	6	261	261	NAAR	CO150	NAR	1	1XXX	*	*		 	7701	NAAR,CO150,NAR,CL 1,1XXX,*,*	11
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26	7660	15548250	MANDARYN BOERDERY	HL 	58	141623	24	58	0		1	6	261	261	NAAR	CO070	NAR	1	*	36	*		 	7660	NAAR,CO070,NAR,CL 1,*,36,*	11
R S A MARKET AGENTS	RIAAN  JOUBERT			02-AUG-26	02-AUG-26	7842	15567374	MOUTON CITRUS (PT	HL 	500	141623	24	500	0		1	6	261	261	NAAR	EC020	M1	2	*	15	*		 	7842	NAAR,EC020,M1,CL 2,*,15,*	1
R S A MARKET AGENTS	RIAAN  JOUBERT			02-AUG-26	02-AUG-26	7830	15567347	MOUTON CITRUS (PT	HL 	500	141623	24	500	0		1	6	261	261	NAAR	EC020	M1	2	*	12	*		 	7830	NAAR,EC020,M1,CL 2,*,12,*	1
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	1620	15553957	MOUTON CITRUS (PT	HL 	57	141623	24	57	0		1	6	261	261	NAAR	CO150	NAR	1	1XXX	*	*		 	1620	NAAR,CO150,NAR,CL 1,1XXX,*,*	8
R S A MARKET AGENTS	RIAAN  JOUBERT			02-AUG-26	02-AUG-26	1514	15567376	MOUTON CITRUS (PT	HL 	130	141623	24	130	0		1	6	261	261	NAAR	CO150	M1	1	1XXX	*	*		 	1514	NAAR,CO150,M1,CL 1,1XXX,*,*	1
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	4727	15553949	MOUTON CITRUS (PT	HL 	195	141623	24	195	0		1	6	261	261	NAAR	CO150	TA	1	1XXX	*	*		 	4727	NAAR,CO150,TA,CL 1,1XXX,*,*	8
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26	573	15539021	MOUTON CITRUS (PT	HL 	35	141623	24	35	0		1	6	261	261	NAAR	CO150	TA	1	1XXX	*	*		 	573	NAAR,CO150,TA,CL 1,1XXX,*,*	17
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	8052	15553984	MOUTON CITRUS (PT	HL 	50	141623	24	50	0		1	6	261	261	NAAR	CO150	TA	1	1XX	*	*		 	8052	NAAR,CO150,TA,CL 1,1XX,*,*	8
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	8047	15553956	MOUTON CITRUS (PT	HL 	65	141623	24	65	0		1	6	261	261	NAAR	CO150	NAR	1	1XX	*	*		 	8047	NAAR,CO150,NAR,CL 1,1XX,*,*	8
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26	526	15539018	MOUTON CITRUS (PT	HL 	64	141623	24	64	0		1	6	261	261	NAAR	CO150	TA	1	1X	*	*		 	526	NAAR,CO150,TA,CL 1,1X,*,*	17
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	7256	15553951	MOUTON CITRUS (PT	HL 	315	141623	24	315	0		1	6	261	261	NAAR	CO100	TA	1	1X	*	*		 	7256	NAAR,CO100,TA,CL 1,1X,*,*	8
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	8041	15553953	MOUTON CITRUS (PT	HL 	284	141623	24	284	0		1	6	261	261	NAAR	CO100	TA	1	1	*	*		 	8041	NAAR,CO100,TA,CL 1,1,*,*	8
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	4567	15553961	MOUTON CITRUS (PT	HL 	70	141623	24	70	0		1	6	261	261	NAAR	CO100	NAR	1	1	*	*		*	4567	NAAR,CO100,NAR,CL 1,1,*,*	8
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	8045	15553954	MOUTON CITRUS (PT	HL 	118	141623	24	118	0		1	6	261	261	NAAR	CO100	TA	1	2	*	*		*	8045	NAAR,CO100,TA,CL 1,2,*,*	8
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	2844	15553967	MOUTON CITRUS (PT	HL 	34	141623	24	34	0		1	6	261	261	NAAR	CO100	NAR	1	2	*	*		 	2844	NAAR,CO100,NAR,CL 1,2,*,*	8
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26	534	15539020	MOUTON CITRUS (PT	HL 	160	141623	24	160	0		1	6	261	261	NAAR	CO150	TA	1	1XX	*	*		 	534	NAAR,CO150,TA,CL 1,1XX,*,*	17
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	1588	15564816	MOUTON CITRUS (PT	HL 	80	141623	24	80	0		1	6	261	261	ORGS	CTT150	NV	1	*	72	*		 	1588	ORGS,CTT150,NV,CL 1,*,72,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			20-JUN-26	20-JUN-26	8001	15493378	OCKERT LE ROUX BO	HL 	1	141623	24	1	0		1	6	261	261	AVOS	BG150	AH	3	L	*	*		 	8001	AVOS,BG150,AH,CL 3,L,*,*	44
R S A MARKET AGENTS	RIAAN  JOUBERT			16-JUN-26	16-JUN-26	4491	15486994	SAND SEDGE (PTY) 	HL 	104	141623	24	104	0		1	6	261	261	NAAR	CO100	NAR	1	1XXX	*	*		 	4491	NAAR,CO100,NAR,CL 1,1XXX,*,*	48
R S A MARKET AGENTS	RIAAN  JOUBERT			16-JUN-26	16-JUN-26	4237	15486993	SAND SEDGE (PTY) 	HL 	24	141623	24	24	0		1	6	261	261	NAAR	CO100	NAR	1	1XX	*	*		 	4237	NAAR,CO100,NAR,CL 1,1XX,*,*	48
R S A MARKET AGENTS	RIAAN  JOUBERT			07-JUL-26	07-JUL-26	7313	15518822	SOUTPANSBERG SUB-	HL 	7	141623	24	7	0		1	6	261	261	AVOS	TR040	AK	2	*	10	*		 	7313	AVOS,TR040,AK,CL 2,*,10,*	27
R S A MARKET AGENTS	RIAAN  JOUBERT			20-JUL-26	20-JUL-26	1187	15541993	MOUTON CITRUS (PT	TR 	320	141623	24	320	0	430	1	8	1000004	1000004	ORGS	CTT150	NV	12	*	40	*		*	1187	ORGS,CTT150,NV,LOWEST CLASS,*,40,*	14
